marca,linea,modelo,condición,combustible,color,transmisión,único_dueño,tipo_de_vendedor,kilometraje,puertas,precio
Mazda,2,2008,Usado,Gasolina,Rojo,Automática,No,Persona Natural,112881,4.0,16500000
Audi,A4,2011,Usado,Gasolina,Gris,Automática,No,Vendedor Profesional,50000,4.0,40000000
Ford,Explorer,1993,Usado,Gasolina,Azul,Mecánica,Sí,Vendedor Profesional,38000,5.0,16000000
Hyundai,Elantra,1997,Usado,Gasolina,Gris,Automática,No,Persona Natural,43158,5.0,12000000
Hyundai,Atos,2006,Usado,Gasolina,Rojo,Mecánica,No,Vendedor Profesional,163000,5.0,12100000
Chevrolet,Spark GT,2011,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,110000,4.0,19800000
Nissan,March,2019,Usado,Gasolina,Plateado,Automática,No,Persona Natural,13500,5.0,30000000
Hyundai,i35,2013,Usado,Diesel,Gris,Mecánica,No,Persona Natural,131000,5.0,43300000
Renault,Clio,2016,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,83000,4.0,21500000
Chevrolet,Aveo,2009,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,150040,4.0,15500000
Chevrolet,Sail,2014,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,92000,5.0,22000000
Fiat,Uno Furgón,2010,Usado,Gasolina,Rojo,Mecánica,Sí,Vendedor Profesional,110424,2.0,14300000
Mazda,323,1992,Usado,Gasolina,Rojo,Mecánica,No,Vendedor Profesional,185000,5.0,6100000
Chevrolet,Aveo Emotion,2012,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,127000,4.0,22000000
Chevrolet,Tracker,2014,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,94500,5.0,37500000
Mitsubishi,Montero,1995,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,250000,3.0,18500000
Mazda,Mazda 6,2004,Usado,Gasolina,Blanco,Automática Secuencial,No,Persona Natural,184000,4.0,14200000
Chevrolet,Swift,2006,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,90000,4.0,7400000
Renault,Twingo,2002,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,218000,3.0,9500000
Chevrolet,Chevy C2,2005,Usado,Gasolina,Azul,Automática,No,Persona Natural,130000,5.0,10500000
Chevrolet,Spark GT,2013,Usado,Gasolina,Negro,Mecánica,Sí,Persona Natural,123000,5.0,20600000
Chery,Nice,2011,Usado,Gasolina,Plateado,Mecánica,Sí,Persona Natural,48000,4.0,13000000
Ford,Focus,2014,Usado,Gasolina,Otro,Automática,Sí,Persona Natural,67000,5.0,33000000
Renault,Express,2013,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,63000,5.0,32000000
Skoda,Felicia,1997,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,177000,4.0,4000000
Renault,Logan,2008,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,100000,5.0,14000000
Mazda,3,2020,Usado,Gasolina,Blanco,Automática Secuencial,Sí,Persona Natural,400,5.0,90000000
Renault,Clio,2016,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,70000,5.0,21000000
Renault,Logan,2013,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,94000,4.0,19000000
Mazda,323,1997,Usado,Gasolina,Rojo,Mecánica,No,Persona Natural,200000,5.0,4000000
Chevrolet,Aveo,2011,Usado,Gasolina,Dorado,Mecánica,No,Persona Natural,71000,5.0,20500000
Chevrolet,Optra,2009,Usado,Gasolina,Plateado,Automática,No,Persona Natural,104000,5.0,17500000
Chevrolet,Aveo,2013,Usado,Gasolina,Vinotinto,Mecánica,No,Persona Natural,112000,4.0,21000000
Renault,Clio,2014,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,102580,5.0,19500000
Chevrolet,Samurai,1996,Usado,Gasolina,Azul,Mecánica,No,Vendedor Profesional,100000,3.0,14000000
Chevrolet,Corsa 2 Ptas.,2005,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,135000,3.0,9500000
Mazda,323,1988,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,453269,5.0,6300000
Toyota,Hilux,2020,Usado,Diesel,Blanco,Mecánica,Sí,Persona Natural,13000,4.0,135000000
Chevrolet,Sail,2015,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,73000,5.0,22300000
Hyundai,Tucson,2014,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,77420,5.0,52000000
Renault,Duster,2019,Usado,Gasolina y Gas,Blanco,Mecánica,Sí,Persona Natural,63000,5.0,53000000
Ford,Fiesta,2013,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,58000,4.0,29700000
Chevrolet,Spark,2009,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,15300,4.0,13800000
Renault,Duster,2019,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,16000,4.0,57900000
Nissan,Sentra,2018,Usado,Gasolina,Azul,Mecánica,Sí,Persona Natural,13499,4.0,50000000
Mazda,323,1995,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,42000,4.0,7000000
Nissan,Frontier,2012,Usado,Diesel,Blanco,Mecánica,No,Persona Natural,170000,4.0,43000000
Chevrolet,Aveo,2012,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,105000,4.0,18600000
Renault,Clio,2003,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,145000,5.0,11500000
Renault,Clio,2003,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,120000,4.0,10400000
Ford,Fiesta,2016,Usado,Gasolina,Plateado,Automática,Sí,Persona Natural,49500,5.0,37000000
Renault,Sandero,2012,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,140000,5.0,19800000
Suzuki,Ertiga,2015,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,57500,5.0,35000000
Renault,R9,1985,Usado,Gasolina y Gas,Beige,Mecánica,No,Persona Natural,300000,5.0,6000000
Renault,Clio,2006,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,178000,5.0,13850000
Renault,Logan,2006,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,112000,4.0,12700000
Renault,Twingo,2009,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,112000,3.0,12400000
